cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,evac_decision
1.798490785,-0.383027177,-1.499953258,-1.117252021,-0.480470415,-1.319076189,-0.396403163,0
1.889996186,-0.70692901,-0.450769822,4.040818376,0.047190035,-0.250563385,-0.258030642,0
0.858948314,1.311641996,-0.44751089,-0.584583201,1.560355172,-0.262691959,3.036000475,1
1.545922449,-1.658801937,0.609756093,-2.045728998,1.25423319,0.387369179,0.608713854,0
-1.082390397,1.311641996,-0.450769822,-1.332267705,0.34313219,-1.32544805,0.079036714,0
-1.415348437,1.911040627,0.760956875,-2.18131361,-0.233054818,-1.120493224,-0.247535665,0
2.213967927,1.949529375,1.662198461,-2.18131361,0.947823545,1.036015878,0.611323216,0
2.198305483,-0.764025739,0.601672546,-2.045728998,-0.573173994,-0.277208343,1.959351126,0
1.778879327,1.949529375,0.609756093,-1.690927717,1.521407962,-0.899425774,-1.805945486,0
0.196092088,-0.493594602,2.870666226,-0.846082796,0.153275985,4.605286547,0.149301304,0
-1.284011876,1.311641996,1.206489326,1.365156503,0.106480389,-0.922597844,1.619049594,0
-1.238321096,-1.339858247,-1.499953258,0.963859519,0.325783396,-1.985639721,-2.535577198,0
0.851335046,0.992698306,2.267015241,-2.18131361,-0.277415405,-0.699803896,0.949015386,0
-1.616283959,-0.584065057,-1.499953258,-1.436797994,1.210352475,-1.568147183,-0.265932606,0
1.968898891,-1.020914557,-1.499953258,-0.720167814,-1.056473858,-1.563843459,0.865572579,0
-0.645826297,-0.764025739,-0.44751089,-1.117252021,0.332872893,-0.661030365,0.400701557,0
0.789681695,0.239783803,-1.499953258,4.447572213,1.547364559,-0.027108125,-1.080332394,1
1.493155379,-4.200886093,0.15730589,-2.045728998,-2.217192643,-2.419360898,2.695698943,0
0.946181678,1.592096937,1.662198461,1.153797774,-1.923773612,-2.200577274,-1.739080943,0
0.554861769,1.630585685,-0.44751089,-1.843551832,2.447998069,1.038459541,-2.942192338,0
0.488866636,1.592096937,-1.499953258,-1.603436929,0.916637137,-0.017423215,-2.52956779,0
1.996221813,-1.631429009,-1.499953258,1.684324835,-1.115580646,-1.556887996,2.626775973,1
-1.541126358,1.592096937,0.601672546,4.726659165,-1.614840845,-1.993338622,2.152677716,1
-0.895378684,-1.082969429,0.601672546,0.891432471,-0.57028374,-1.540671388,1.619049594,1
-0.892843302,1.592096937,-1.499953258,1.684324835,0.916820702,4.605286547,-0.05477636,0
-4.140511091,-0.122721316,-0.439427343,1.103656908,-0.698534662,-0.69789767,-3.489164546,0
1.561127963,-3.377037233,0.15730589,4.591074552,-1.069360374,-1.978238636,2.422163722,1
0.731771821,-0.441665006,0.609756093,-1.572382607,0.340713163,0.180714129,-0.599065329,0
2.060346384,-0.383027177,-1.499953258,0.620263246,0.695762106,-0.262691959,-0.728745202,0
0.621771366,0.155408598,-0.450769822,-2.18131361,0.695578541,-0.479114046,-0.250695963,0
0.326720471,1.949529375,2.870666226,-0.504120032,1.243949265,4.605286547,-3.092567325,0
1.432474841,1.311641996,0.15730589,-0.981667409,0.031780396,-0.465786724,-0.250695963,0
2.442029729,-0.982425809,0.609756093,-1.707967219,-2.808709821,1.925133737,-1.813354043,0
0.960709185,-1.020914557,-1.499953258,-0.858921314,0.695762106,1.038459541,-0.728745202,0
1.931881975,0.754807229,-0.44751089,-2.316898223,3.302123646,-0.477547385,-1.327247079,0
-1.543905513,1.273153247,2.870666226,-2.316898223,-2.808709821,-2.864994958,0.366301087,1
0.460719447,1.592096937,-1.499953258,-1.555343104,-2.808709821,-2.864994958,-3.4857645,0
0.491933299,-1.020914557,-0.450769822,-0.226117053,-0.82234518,-2.864994958,0.004993253,1
-0.020882904,-3.37362019,0.601672546,-2.316898223,0.402606109,4.605286547,-0.524132951,1
0.559712077,-0.383027177,-1.499953258,0.343893776,-2.808709821,-0.68064215,0.608713854,1
